DXCode,Description,"2020 CMS-HCC
Model
Category
(V24) ",V24 HCC Description,V28ID,V28HCCDescription,"2020 CMS-HCC Model
Category
(V24) for 2024
Payment Year","2024 Proposed CMS-HCC Model
Category
(V28) for 2024
Payment Year",Same HCC Description  
G054,Myelitis in diseases classified elsewhere,72,Spinal Cord Disorders/Injuries,182,Spinal Cord Disorders/Injuries,Yes,Yes,SAME
G10,Huntington's disease,78,Parkinson's and Huntington's Diseases,200,"Friedreich and Other
Hereditary Ataxias; Huntington Disease",Yes,Yes,NO
G110,Congenital nonprogressive ataxia,72,Spinal Cord Disorders/Injuries,200,"Friedreich and Other
Hereditary Ataxias; Huntington Disease",Yes,Yes,NO
G1110,"Early-onset cerebellar ataxia, unspecified",72,Spinal Cord Disorders/Injuries,200,"Friedreich and Other
Hereditary Ataxias; Huntington Disease",Yes,Yes,NO
G1111,Friedreich ataxia,72,Spinal Cord Disorders/Injuries,200,"Friedreich and Other
Hereditary Ataxias; Huntington Disease",Yes,Yes,NO
G1119,Other early-onset cerebellar ataxia,72,Spinal Cord Disorders/Injuries,200,"Friedreich and Other
Hereditary Ataxias; Huntington Disease",Yes,Yes,NO
G112,Late-onset cerebellar ataxia,72,Spinal Cord Disorders/Injuries,200,"Friedreich and Other
Hereditary Ataxias; Huntington Disease",Yes,Yes,NO
G113,Cerebellar ataxia with defective DNA repair,72,Spinal Cord Disorders/Injuries,200,"Friedreich and Other
Hereditary Ataxias; Huntington Disease",Yes,Yes,NO
G114,Hereditary spastic paraplegia,72,Spinal Cord Disorders/Injuries,200,"Friedreich and Other
Hereditary Ataxias; Huntington Disease",Yes,Yes,NO
G118,Other hereditary ataxias,72,Spinal Cord Disorders/Injuries,200,"Friedreich and Other
Hereditary Ataxias; Huntington Disease",Yes,Yes,NO
G119,"Hereditary ataxia, unspecified",72,Spinal Cord Disorders/Injuries,200,"Friedreich and Other
Hereditary Ataxias; Huntington Disease",Yes,Yes,NO
G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",72,Spinal Cord Disorders/Injuries,190,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal MuscularAtrophy",Yes,Yes,NO
G121,Other inherited spinal muscular atrophy,72,Spinal Cord Disorders/Injuries,190,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal MuscularAtrophy",Yes,Yes,NO
G1220,"Motor neuron disease, unspecified",73,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,190,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal MuscularAtrophy",Yes,Yes,NO
G1221,Amyotrophic lateral sclerosis,73,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,190,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal MuscularAtrophy",Yes,Yes,NO
G1222,Progressive bulbar palsy,73,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,190,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal MuscularAtrophy",Yes,Yes,NO
G1223,Primary lateral sclerosis,73,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,190,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal MuscularAtrophy",Yes,Yes,NO
G1224,Familial motor neuron disease,73,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,190,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal MuscularAtrophy",Yes,Yes,NO
G1225,Progressive spinal muscle atrophy,73,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,190,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal MuscularAtrophy",Yes,Yes,NO
G1229,Other motor neuron disease,73,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,190,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal MuscularAtrophy",Yes,Yes,NO
